Entry Date	ID	Exit Date	Pages Viewed	Conversion
01/01/2015 12:01	8.89552E+18	01/01/2015 12:05	7	No
01/01/2015 12:01	6.48714E+18	01/01/2015 12:02		No
01/01/2015 12:02	1.27748E+18	01/01/2015 12:05	10	No
01/01/2015 12:02		01/01/2015 12:06	3	No
01/01/2015 12:04	6.20201E+18	01/01/2015 12:04	1	No
01/01/2015 12:04	7.37575E+18	01/01/2015 12:05	4	No
01/01/2015 12:04		01/01/2015 12:05		Yes
01/01/2015 12:04	8.37084E+18	01/01/2015 12:09	10	No
01/01/2015 12:04	5.21717E+18	01/01/2015 12:07	7	No
		01/01/2015 12:06	15	
01/01/2015 12:05	4.03323E+18	n/a	10	No
01/01/2015 12:06	5.02436E+18	01/01/2015 12:06	1	No
01/01/2015 12:07	4.17677E+18	01/01/2015 12:08	1	
01/01/2015 12:07			1	No
01/01/2015 12:09	5.90115E+18	01/01/2015 12:10	1	No
01/01/2015 12:11	3.33465E+18	01/01/2015 12:11	1	No
				No
01/01/2015 12:12	7.92852E+18	01/01/2015 12:12	1	No
01/01/2015 12:14	2.37232E+18	01/01/2015 12:15	1	No
01/01/2015 12:15	5.87421E+18	01/01/2015 12:17	2	No
01/01/2015 12:16	8.91821E+18	01/01/2015 12:18	3	No
01/01/2015 12:16	3.8956E+18	01/01/2015 12:18	3	No
01/01/2015 12:16	1.08712E+18	n/a	1	No
01/01/2015 12:16	1.73848E+18	01/01/2015 12:19	3	No
01/01/2015 12:18	7.11838E+18	01/01/2015 12:21	10	No
01/01/2015 12:19	3.28285E+18	01/01/2015 12:19	1	No
01/01/2015 12:19	4.56792E+18	01/01/2015 12:20	4	No
01/01/2015 12:19	7.20511E+16	01/01/2015 12:19	1	No
01/01/2015 12:19	6.89804E+18	01/01/2015 12:19	1	No
